concept,family,classification,justification,required_missing_capability,closest_supported_substitute,composition_constraint_needed,composition_constraint_note,priority_unlock
provider_possession_comparison,"Ball contact, control, contest, and possession",supported,Comparing possession labels across providers is a provenance/conflict governance artifact; the evidence/conflict-record discipline exists.,,evidence/provenance + conflict_record (exist),False,,LOW
recovery_of_control,"Ball contact, control, contest, and possession",partial_with_typed_gap,"Regaining control after a loss is a possession-gain anchor (change_across_anchor), but distinguishing an active recovery (winning a loose ball / interception) from a clean restart needs a loose-ball/interception primitive.",interception/loose_ball primitive,change_across_anchor + possession_segment,True,,MED
same_possession_relation,"Ball contact, control, contest, and possession",supported,Whether two events are in the same possession is directly enforced by possession_segment / action_chain (never bridges turnover).,,possession_segment + action_chain,False,,LOW
second_ball_episode,"Ball contact, control, contest, and possession",missing_primitive,A second-ball situation is a loose-ball contest after a first contact; needs loose_ball + contest primitives that do not exist.,loose_ball / contest primitive,change_across_anchor + pairwise_distance (weak),False,,MED
team_control_state,"Ball contact, control, contest, and possession",supported,Which team is in control at a time is the possession_segment team label.,,possession_segment,False,,LOW
team_possession_episode,"Ball contact, control, contest, and possession",supported,A contiguous team-possession episode is directly possession_segment.,,possession_segment,False,,LOW
touch_candidate,"Ball contact, control, contest, and possession",missing_primitive,"A generic touch event is not a primitive; one_touch_relay and controlled_pass infer pass-related touches, but a standalone touch detection needs a touch/contact primitive.",contact/touch primitive,one_touch_relay_episode + pairwise_distance + ball velocity change (proxy),False,,MED
acceleration,Kinematics and trajectory structure,missing_primitive,velocity exists (displacement-derived) but true second-derivative acceleration is not in catalog; per calibration acceleration specifically = missing_primitive.,acceleration,velocity (displacement-derived speed/velocity over lookback),False,,HIGH
acceleration_episode,Kinematics and trajectory structure,missing_primitive,"Episode of sustained acceleration requires the acceleration primitive (second derivative) which does not exist; persists_for over velocity gives speed-magnitude windows only, not acceleration.",acceleration,velocity + persists_for,False,,MED
change_of_direction_episode,Kinematics and trajectory structure,missing_primitive,Change-of-direction requires heading/turn-rate derivation beyond velocity magnitude; per calibration change-of-direction leans missing_primitive (acceleration/heading derivative).,acceleration,velocity (direction component over lookback),False,,MED
closing_speed,Kinematics and trajectory structure,supported,Closing speed is delivered by pressure_on_carrier (nearest-defender closing_speed) and by relative velocity via pairwise_distance slope + velocity; kinematics family strength.,,pressure_on_carrier (closing_speed) + pairwise_distance + velocity,False,,LOW
convergence_relation,Kinematics and trajectory structure,supported,"Convergence of two entities = pairwise_distance decreasing over time (negative slope), readable via pairwise_distance + velocity with lte/gt operators.",,pairwise_distance (distance over time) + velocity,True,,LOW
divergence_relation,Kinematics and trajectory structure,supported,"Divergence = pairwise_distance increasing over time; same chain as convergence with opposite sign, using pairwise_distance + velocity.",,pairwise_distance + velocity,True,,LOW
heading_of_motion,Kinematics and trajectory structure,supported,"Heading is the direction component of the displacement-derived velocity vector; velocity primitive already carries directional velocity, not just speed.",,velocity (displacement-derived velocity vector),False,,LOW
high_intensity_run_episode,Kinematics and trajectory structure,supported,"Speed-threshold run sustained over time = velocity magnitude gte threshold persists_for; pure velocity-magnitude band, a kinematics strength.",,velocity + gte + persists_for,True,,LOW
jerk,Kinematics and trajectory structure,missing_primitive,"Jerk is the third derivative of position; velocity is first derivative only, acceleration itself missing, so jerk is doubly out of reach.",acceleration,velocity,False,,LOW
lateral_velocity,Kinematics and trajectory structure,supported,"Lateral component of displacement-derived velocity vector; velocity primitive supplies the vector, lateral axis is the pitch-width component (cf. signed_lateral_shift framing).",,"velocity (vector, lateral component)",False,,LOW
longitudinal_velocity,Kinematics and trajectory structure,supported,"Longitudinal component of the displacement-derived velocity vector; velocity primitive supplies it, axis is pitch-length direction.",,"velocity (vector, longitudinal component)",False,,LOW
movement_onset,Kinematics and trajectory structure,supported,"Onset = velocity magnitude rising across a low threshold (start of motion); detectable from velocity + gt rising-edge, no acceleration value required.",,velocity + gt threshold,True,,LOW
movement_stop,Kinematics and trajectory structure,supported,"Stop = velocity magnitude falling below a near-zero threshold and persisting; velocity + lte + persists_for, no deceleration derivative needed.",,velocity + lte + persists_for,True,,LOW
movement_synchrony,Kinematics and trajectory structure,partial_with_typed_gap,"Velocity vectors of multiple players are available so co-directed/co-timed motion is partially expressible, but a declared synchrony measure (correlated velocity across an entity set) is not a primitive and needs a composition rule over per-entity velocity.",declared multi-entity velocity-correlation composition,velocity (per entity) + group aggregation,True,,MED
